Postleitzahl,Umweltzone Berlin
10115,innerhalb
10117,innerhalb
10119,innerhalb
10178,innerhalb
10179,innerhalb
10243,innerhalb
10245,teilweise betroffen
10247,teilweise betroffen
10249,innerhalb
10315,außerhalb
10317,außerhalb
10318,außerhalb
10319,außerhalb
10365,außerhalb
10367,außerhalb
10369,außerhalb
10405,teilweise betroffen
10407,teilweise betroffen
10409,außerhalb
10435,innerhalb
10437,teilweise betroffen
10439,teilweise betroffen
10551,innerhalb
10553,teilweise betroffen
10555,innerhalb
10557,innerhalb
10559,innerhalb
10585,innerhalb
10587,innerhalb
10589,teilweise betroffen
10623,innerhalb
10625,innerhalb
10627,innerhalb
10629,innerhalb
10707,innerhalb
10709,innerhalb
10711,teilweise betroffen
10713,teilweise betroffen
10715,teilweise betroffen
10717,innerhalb
10719,innerhalb
10777,innerhalb
10779,innerhalb
10781,innerhalb
10783,innerhalb
10785,innerhalb
10787,innerhalb
10789,innerhalb
10823,innerhalb
10825,innerhalb
10827,teilweise betroffen
10829,teilweise betroffen
10961,innerhalb
10963,innerhalb
10965,innerhalb
10967,innerhalb
10969,innerhalb
10997,innerhalb
10999,innerhalb
12043,innerhalb
12045,innerhalb
12047,innerhalb
12049,innerhalb
12051,teilweise betroffen
12053,innerhalb
12055,teilweise betroffen
12057,außerhalb
12059,teilweise betroffen
12099,teilweise betroffen
12101,innerhalb
12103,außerhalb
12105,außerhalb
12107,außerhalb
12109,außerhalb
12157,außerhalb
12159,außerhalb
12161,außerhalb
12163,außerhalb
12165,außerhalb
12167,außerhalb
12169,außerhalb
12203,außerhalb
12205,außerhalb
12207,außerhalb
12209,außerhalb
12247,außerhalb
12249,außerhalb
12277,außerhalb
12279,außerhalb
12305,außerhalb
12307,außerhalb
12309,außerhalb
12347,außerhalb
12349,außerhalb
12351,außerhalb
12353,außerhalb
12355,außerhalb
12357,außerhalb
12359,außerhalb
12435,teilweise betroffen
12437,außerhalb
12439,außerhalb
12459,außerhalb
12487,außerhalb
12489,außerhalb
12524,außerhalb
12526,außerhalb
12527,außerhalb
12555,außerhalb
12557,außerhalb
12559,außerhalb
12587,außerhalb
12589,außerhalb
12619,außerhalb
12621,außerhalb
12623,außerhalb
12627,außerhalb
12629,außerhalb
12679,außerhalb
12681,außerhalb
12683,außerhalb
12685,außerhalb
12687,außerhalb
12689,außerhalb
13051,außerhalb
13053,außerhalb
13055,außerhalb
13057,außerhalb
13059,außerhalb
13086,außerhalb
13088,außerhalb
13089,außerhalb
13125,außerhalb
13127,außerhalb
13129,außerhalb
13156,außerhalb
13158,außerhalb
13159,außerhalb
13187,außerhalb
13189,außerhalb
13347,teilweise betroffen
13349,außerhalb
13351,außerhalb
13353,teilweise betroffen
13355,innerhalb
13357,teilweise betroffen
13359,außerhalb
13403,außerhalb
13405,außerhalb
13407,außerhalb
13409,außerhalb
13435,außerhalb
13437,außerhalb
13439,außerhalb
13465,außerhalb
13467,außerhalb
13469,außerhalb
13503,außerhalb
13505,außerhalb
13507,außerhalb
13509,außerhalb
13581,außerhalb
13583,außerhalb
13585,außerhalb
13587,außerhalb
13589,außerhalb
13591,außerhalb
13593,außerhalb
13595,außerhalb
13597,außerhalb
13599,außerhalb
13627,außerhalb
13629,außerhalb
14050,außerhalb
14052,außerhalb
14053,außerhalb
14055,außerhalb
14057,teilweise betroffen
14059,teilweise betroffen
14089,außerhalb
14109,außerhalb
14129,außerhalb
14163,außerhalb
14165,außerhalb
14167,außerhalb
14169,außerhalb
14193,außerhalb
14195,außerhalb
14197,außerhalb
14199,außerhalb
